08:53:22:853    1
08:53:23:460    HIDC00000000000421030243
08:53:23:520    HIDC00000000000421030242
08:53:23:904    HIDC00000000000421030241
08:53:23:966    HIDC00000000000421030240
08:53:24:019    HIDC00000000000421030239
08:53:24:066    HIDC00000000000421030238
08:53:24:129    HIDC00000000000421030237
08:53:24:186    HIDC00000000000421030236
08:53:24:242    HIDC00000000000421030235
08:53:24:822    HIDC00000000000421030234
08:53:24:889    HIDC00000000000421030233
08:53:24:942    HIDC00000000000421030232
08:53:25:351    HIDC00000000000421030231
08:53:25:426    HIDC00000000000421030230
08:53:25:802    HIDC00000000000421030229
08:53:25:891    HIDC00000000000421030228
08:53:25:954    HIDC00000000000421030227
08:53:26:005    HIDC00000000000421030226
08:53:26:046    HIDC00000000000421030225
08:53:26:111    HIDC00000000000421030224
08:53:26:166    HIDC00000000000421030223
08:53:26:222    HIDC00000000000421030222
08:53:26:284    HIDC00000000000421030221
08:53:26:337    HIDC00000000000421030220
08:53:26:396    HIDC00000000000421030219
08:53:26:450    HIDC00000000000421030218
08:53:26:503    HIDC00000000000421030217
08:53:26:557    HIDC00000000000421030216
08:53:26:613    HIDC00000000000421030215
08:53:27:218    HIDC00000000000421030214
08:53:27:301    HIDC00000000000421030213
08:53:27:363    HIDC00000000000421030212
08:53:27:423    HIDC00000000000421030211
08:53:27:485    HIDC00000000000421030210
08:53:28:055    HIDC00000000000421030209
