08:33:08:006    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
08:33:08:488    Step3：读取模板，按照固定的行列读取耗时：0时0分0秒
08:33:11:148    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分2秒
08:33:11:648    Step6：插入数据耗时==========：0时0分0秒
08:50:57:625    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
08:50:57:835    Step3：读取模板，按照固定的行列读取耗时：0时0分0秒
08:50:57:838    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分0秒
08:50:57:877    Step6：插入数据耗时==========：0时0分0秒
16:12:56:061    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
16:12:56:788    Step3：读取模板，按照固定的行列读取耗时：0时0分0秒
16:12:56:847    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分0秒
16:12:59:649    Step6：插入数据耗时==========：0时0分3秒
